date,uid,time,bombBaseSum,bombHits,n_hints,archive
2026-03-09,V07QPXYaICOOcP5ev6DXa2yG9y92,212,0,2,0,0
2026-03-09,V07QPXYaICOOcP5ev6DXa2yG9y92,157,0,1,0,0
2026-03-10,AYXrTjKPieYrZI8sksnYqbI3Pmh1,153,0,6,0,0
2026-03-10,V07QPXYaICOOcP5ev6DXa2yG9y92,195,0,2,0,0
2026-03-10,,579,0,34,0,0
2026-03-11,V07QPXYaICOOcP5ev6DXa2yG9y92,147,0,2,0,0
2026-03-13,V07QPXYaICOOcP5ev6DXa2yG9y92,116,0,2,0,0
2026-03-15,V07QPXYaICOOcP5ev6DXa2yG9y92,218,0,5,0,0
2026-03-15,AYXrTjKPieYrZI8sksnYqbI3Pmh1,90,0,0,0,0
2026-03-16,AYXrTjKPieYrZI8sksnYqbI3Pmh1,118,0,1,0,0
2026-03-17,V07QPXYaICOOcP5ev6DXa2yG9y92,132,0,3,0,0
2026-03-17,AYXrTjKPieYrZI8sksnYqbI3Pmh1,173,0,3,0,0
2026-03-18,V07QPXYaICOOcP5ev6DXa2yG9y92,72,0,0,0,0
2026-03-18,AYXrTjKPieYrZI8sksnYqbI3Pmh1,79,0,0,0,0
2026-03-19,V07QPXYaICOOcP5ev6DXa2yG9y92,158,0,2,0,0
2026-03-19,AYXrTjKPieYrZI8sksnYqbI3Pmh1,91,0,1,0,0
2026-03-20,AYXrTjKPieYrZI8sksnYqbI3Pmh1,58,0,1,0,0
2026-03-20,V07QPXYaICOOcP5ev6DXa2yG9y92,97,0,3,0,0
2026-03-21,AYXrTjKPieYrZI8sksnYqbI3Pmh1,43,0,0,0,0
2026-03-21,V07QPXYaICOOcP5ev6DXa2yG9y92,103,0,2,0,0
2026-03-22,V07QPXYaICOOcP5ev6DXa2yG9y92,34,0,0,0,0
2026-03-23,V07QPXYaICOOcP5ev6DXa2yG9y92,290,0,5,0,0
2026-03-23,AYXrTjKPieYrZI8sksnYqbI3Pmh1,146,0,2,0,0
2026-03-24,V07QPXYaICOOcP5ev6DXa2yG9y92,33,0,0,0,0
2026-03-24,AYXrTjKPieYrZI8sksnYqbI3Pmh1,28,0,0,0,0
2026-03-25,AYXrTjKPieYrZI8sksnYqbI3Pmh1,80,0,1,0,0
2026-03-25,V07QPXYaICOOcP5ev6DXa2yG9y92,116,0,2,0,0
2026-03-26,AYXrTjKPieYrZI8sksnYqbI3Pmh1,133,0,2,0,0
2026-03-26,V07QPXYaICOOcP5ev6DXa2yG9y92,151,0,1,0,0
2026-03-27,V07QPXYaICOOcP5ev6DXa2yG9y92,46,0,0,0,0
2026-03-27,AYXrTjKPieYrZI8sksnYqbI3Pmh1,42,0,0,0,0
2026-03-28,V07QPXYaICOOcP5ev6DXa2yG9y92,168,0,2,0,0
2026-03-28,AYXrTjKPieYrZI8sksnYqbI3Pmh1,122,0,0,0,0
2026-03-29,V07QPXYaICOOcP5ev6DXa2yG9y92,65,0,2,0,0
2026-03-29,AYXrTjKPieYrZI8sksnYqbI3Pmh1,36,0,1,0,0
2026-03-30,V07QPXYaICOOcP5ev6DXa2yG9y92,148,0,2,0,0
2026-03-30,AYXrTjKPieYrZI8sksnYqbI3Pmh1,156,0,1,0,0
2026-03-31,V07QPXYaICOOcP5ev6DXa2yG9y92,53,0,0,0,0
2026-03-31,AYXrTjKPieYrZI8sksnYqbI3Pmh1,80,0,0,0,0
2026-03-31,l0szSlaOvVb67aYrDzNU7j687BC3,153,0,0,0,0
2026-04-01,V07QPXYaICOOcP5ev6DXa2yG9y92,65,0,0,0,0
2026-04-01,AYXrTjKPieYrZI8sksnYqbI3Pmh1,62,0,2,0,0
2026-04-02,V07QPXYaICOOcP5ev6DXa2yG9y92,158,0,2,0,0
2026-04-02,AYXrTjKPieYrZI8sksnYqbI3Pmh1,162,0,3,0,0
2026-04-03,AYXrTjKPieYrZI8sksnYqbI3Pmh1,59,0,0,0,0
2026-04-03,V07QPXYaICOOcP5ev6DXa2yG9y92,49,0,0,0,0
2026-04-04,V07QPXYaICOOcP5ev6DXa2yG9y92,113,0,2,0,0
2026-04-04,AYXrTjKPieYrZI8sksnYqbI3Pmh1,134,0,3,0,0
2026-04-05,V07QPXYaICOOcP5ev6DXa2yG9y92,129,0,1,0,0
2026-04-05,AYXrTjKPieYrZI8sksnYqbI3Pmh1,93,0,0,0,0
